I1;I2;I3;gx;gy;gz;ax;ay;az;V1real;V2real;V3real;N1;N2;N3;Type
0,4735042;0,832478333;0,4615384;0,58;0,286666667;-0,00133334;0,003548168;0,002067049;-0,001171879;144;-302,4;147,6;2602;-5361;2639;5
0,33974325;0,799679688;0,791667125;1,44625;0,1;0,94625;0,007797246;-0,015441899;-0,015777558;-111,375;-317,25;447,1875;-1765;-5285;7493;5
0,24999975;0,714743813;0,753205125;0,84;0,294375;1,34375;0,006607056;0,014190662;0,000335689;-114,75;-312,1875;448,875;-1920;-5554;7786;5
0,28846125;0,645833625;0,722756688;0,83375;0,1;1,269375;0,008529663;0,008544919;0,012847904;-113,0625;-322,3125;453,9375;-1888;-5619;7840;5
0,294016873;0,441025533;0,4102562;0,478666667;-1,11;16,67866667;-0,010335272;-0,009000621;-0,00257161;154,8;151,2;156,6;2560;2359;2423;5
0,3111108;0,422222067;0,357264667;0,569333333;-0,880666667;19,226;0,000911457;0,001774091;0,003824865;158,4;158,4;158,4;2589;2494;2545;5
0,4581196;0,352136533;0,2153844;0,297333333;-0,95;17,83;0,005013019;0,003369139;0,001497404;144;162;167,4;2585;2767;2902;5
0,283760533;0,442734733;0,5470088;0,048666667;-2,122666667;35,428;0,012597659;-0,027734361;-0,002148449;345,6;331,2;343,8;5074;4828;4795;5
0,442735;0,358974133;0,237606613;0,537333333;-2,186;37,03666667;0,015348304;0,011116544;0,000602224;334,8;342;347,4;5674;5807;5905;5
0,251281873;0,4376068;0,4017092;-0,102666667;-2,332;40,21133333;-0,004622399;0,006559246;-0,00193685;347,4;336,6;349,2;5701;5469;5515;5
0,377777667;0,38632448;0,405128067;-0,460666667;-4,005333333;81,09333333;-0,010872373;-0,094824247;-0,02167978;729;747;766,8;12266;12280;12393;5
0,442735067;0,391453013;0,3418802;-0,316666667;-5,244666667;82,24933333;-0,031835953;-0,028987696;-3,26E-05;747;745,2;756;12010;12087;12139;5
0,42905974;0,381196533;0,321367407;-1,358;-4,492666667;82,53933333;0,012776758;0,08448898;0,01455076;721,8;734,4;747;11972;12115;12125;5
1,117647588;0,022624412;1,108596824;0,564117647;0,030588235;0,882352941;0,017563793;-0,011891071;-0,011058135;-260,4705882;0;258,8823529;-4631;-4;4631;1
1,033182824;0,012066359;0,895927471;0,177647059;0,179411765;0,457647059;0,012867647;-0,01223576;-0,010124654;-265,2352941;3,176470588;266,8235294;-5519;-5;5589;1
0,806938235;0,004524882;0,779789535;1,125294118;-0,335882353;1,455882353;0,014993115;0,00076114;-0,018123875;-214,4117647;0;214,4117647;-3631;2;3611;1
0,53092;1,082956059;0,541478294;0,637647059;0,356470588;-1,721764706;0,015567552;0,001866954;-0,001479194;155,6470588;-309,7058824;152,4705882;2877;-5835;2862;1
0,562594353;1,034690882;0,472096294;0,185882353;-0,359411765;-1,732941176;0,010282616;-0,005600871;0,010239541;150,8823529;-317,6470588;152,4705882;2829;-5826;2915;1
0,533936765;1,016591882;0,542986653;0,867647059;0,277058824;-1,152352941;0,00857365;-0,010411888;0,009320425;139,7647059;-290,6470588;144,5294118;2904;-5936;2912;1
0,319758471;0,74359;0,963800765;0,867058824;0,686470588;-3,111764706;-0,004983346;-0,029454841;-0,019646132;-112,7647059;-328,7647059;455,8235294;-2434;-7022;9816;1
0,343891247;0,720965471;0,853695824;0,374117647;-0,187647059;-2,072941176;0,005241844;0,000990966;0,011431529;-103,2352941;-303,3529412;427,2352941;-1992;-5903;8239;1
0,382642846;0,552268462;0,289940538;-0,292307692;-1,026153847;18,06;-0,003756016;0,004864048;0,01295823;166,1538462;147,4615385;168,2307692;2458;2314;2579;1
0,410256231;0,278106231;0,270216692;9,905384615;1,658461538;15,48692308;-0,016855088;-0,007831289;0,04204852;159,9230769;168,2307692;168,2307692;2204;2304;2297;1
0,236686154;0,465483231;0,260354769;0,261538462;-1,114615385;16,23;-0,006009603;-0,003887464;0,008826629;149,5384615;149,5384615;153,6923077;2331;2168;2356;1
0,3948716;0,420512533;0,365811667;-0,357333333;-1,656;36,518;-0,005729172;0,020849608;0,017382792;349,2;347,4;354,6;5664;5621;5715;1
0,353845933;0,439316067;0,331623673;0,108;-1,002;36,28866667;0,016552753;0,009554039;0,011425775;351;351;352,8;5732;5673;5717;1
0,249572473;0,451282067;0,437606733;-0,351333333;-1,460666667;34,90133333;0,021761083;0,023535146;0,016910803;334,8;327,6;327,6;5808;5710;5658;1
0,429487131;0,42307675;0,389422875;-1,02375;-5,17625;75,62125;-0,013473467;0,014099188;-0,019943194;750,9375;756;762,75;14020;14081;14058;1
0,419871688;0,51602575;0,3541665;-0,170625;-4,690625;74,286875;-0,003128121;-0,008316038;-0,031677259;747,5625;744,1875;757,6875;12229;12152;12262;1
0,200320438;0,334935831;0,211538313;-0,009375;-3,509375;41,838125;0,034210133;-0,019882284;-0,035278251;378;374,625;384,75;6889;6788;6867;1
0,504273467;0,029059813;0,347008267;0,33;0,153333333;0,608;-0,004866548;-0,016943397;-0,005875658;-291,6;0;298,8;-4704;-1;4853;2
0,456410133;0,008547007;0,309401473;-0,158666667;0,178666673;0,172666667;-0,002555325;0,007161465;0,015885426;-293,4;-3,6;300,6;-4763;-14;4870;2
0,329914267;0,0102564;0,333333067;0,669333333;0,308;0,119333327;0,007438158;0,000423173;0,015087878;-300,6;1,8;306;-4863;-1;4906;2
0,243589506;0,333333188;0,161858825;0,468125;-0,225625;0,501250006;-0,009231569;0,013351429;0,005966184;170,4375;-351;175,5;3234;-6589;3261;2
0,190704944;0,330128063;0,246794625;0,058125;-0,139375;-0,068125;-0,020568843;-0,029815669;-0,018630985;172,125;-352,6875;180,5625;3023;-6186;3024;2
0,141025575;0,2291665;0,124999875;-0,0525;0,277499999;0,531875;-0,008422848;0,02685545;-0,013229364;91,125;-178,875;87,75;1602;-3358;1617;2
0,165811813;0,252991207;0,2461536;0,248666667;-0,192;1,195333327;0,011083979;0,031852204;0,001448535;-118,8;-358,2;502,2;-1873;-5629;7704;2
0,218803207;0,305982673;0,3025638;0,154;0,499333333;1,228666667;0,033821606;-0,003743493;0,022428399;-115,2;-352,8;489,6;-2071;-6215;8553;2
0,2854698;0,26666648;0,259828807;0,646666667;0,206666667;1,902;0,018831381;0,015250675;-0,014306627;-113,4;-352,8;496,8;-1854;-5798;7973;2
0,170940027;0,25982888;0,147008427;0,737333333;-1,254666667;21,95666667;-0,011409511;0,004378253;0,005712891;180;172,8;171;2791;2784;2883;2
0,3111108;0,2615382;0,205128013;0,470666667;-1,285333333;18,61666667;-0,00779624;-0,008561186;0,019156905;163,8;165,6;176,4;2736;2774;2860;2
0,270085207;0,2256408;0,090598227;0,532666667;-0,820000001;21,11066667;-0,021175139;-0,005257173;0,013199862;163,8;171;187,2;2732;2798;2936;2
0,3145296;0,256410147;0,17264942;1,405333333;-2,476666667;38,86666667;0,02524414;0,006966115;-0,001953147;360;356,4;367,2;5785;5862;5911;2
0,32307674;0,213675013;0,191452807;1,233333333;-1,968;40,34;0,022347075;-0,019205711;-0,007682367;358,2;360;358,2;6006;6097;6125;2
0,188034;0,1914528;0,222222007;0,025333333;-1,605333333;40,69133333;-0,019921901;-0,01266277;-0,108186748;336,6;336,6;334,8;5516;5545;5459;2
0,218803273;0,24444434;0,30085454;3,084666667;-5,29;84,91066667;-0,046012326;-0,08540027;0,015185558;770,4;761,4;783;12411;12432;12466;2
0,27692294;0,331623813;0,252991413;2,872;-3,29466666;86,60466667;-0,029606128;0,026871577;-0,020768187;772,2;765;774;12826;12866;12911;2
0,220512687;0,241025613;0,32649568;2,193333333;-5,578666667;87,42666667;0,021337935;0,002083273;0,038395124;747;759,6;765;12374;12418;12389;2
